epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.8474,0.92375,4.70281,1.10068,0,0,0,0,1.05991,5.01745,1.01367,9.174e-05,9.174e-05,9.174e-05
2,180.188,0.85669,4.35765,1.04299,0.08798,0.75824,0.21528,0.16544,0.89438,4.85039,0.93526,0.000185792,0.000185792,0.000185792
3,265.704,0.87756,4.10618,1.03694,0.08605,0.9359,0.28327,0.21296,0.94825,4.76776,0.97516,0.000277946,0.000277946,0.000277946
4,350.218,0.89694,3.74796,1.0322,0.06743,0.92308,0.27916,0.21858,0.8955,4.60745,0.97113,0.0003682,0.0003682,0.0003682
5,433.368,0.82827,4.03933,0.98439,0.37901,0.21222,0.34122,0.26682,0.94209,4.13891,1.02232,0.000400487,0.000400487,0.000400487
