epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.872,0.96457,4.78807,1.11651,0,0,0,0,1.05892,4.03186,1.04781,9.174e-05,9.174e-05,9.174e-05
2,37.0385,0.83486,4.41981,1.04107,0.06077,0.67418,0.16876,0.12389,1.01668,3.66561,0.9863,0.000185792,0.000185792,0.000185792
3,44.8679,0.88752,4.04369,1.03301,0.06798,0.93956,0.24369,0.17363,1.03709,3.40857,1.01281,0.000277946,0.000277946,0.000277946
4,50.9486,0.93726,3.83873,1.09219,0.7772,0.14813,0.34947,0.2496,0.96498,2.99471,1.01366,0.0003682,0.0003682,0.0003682
5,59.0131,0.9058,3.63594,1.07579,0.60651,0.22564,0.32655,0.26714,0.7883,2.8515,0.94594,0.000400487,0.000400487,0.000400487
6,67.5234,0.87561,3.39368,1.05645,0.32316,0.40861,0.4463,0.34177,0.95501,2.44748,1.01058,0.000396358,0.000396358,0.000396358
7,76.666,0.89897,3.16742,1.05564,0.27124,0.6272,0.4358,0.34441,0.92828,2.39402,1.02706,0.00039223,0.00039223,0.00039223
8,86.8734,0.81773,3.05951,1.02911,0.37779,0.6142,0.52213,0.40417,0.90679,2.02284,1.00627,0.000388102,0.000388102,0.000388102
9,97.3952,0.85354,2.85056,1.01453,0.47017,0.6661,0.6519,0.45695,1.20955,2.00495,1.10042,0.000383974,0.000383974,0.000383974
10,107.044,0.88357,2.67162,1.04537,0.4699,0.66887,0.70078,0.51559,1.1063,1.77222,1.11057,0.000379845,0.000379845,0.000379845
11,118.319,0.85261,2.56311,1.02589,0.52721,0.75462,0.77707,0.6003,0.96485,1.48476,0.99729,0.000375717,0.000375717,0.000375717
12,128.58,0.81761,2.32524,1.00679,0.43048,0.68953,0.6786,0.53234,0.91482,1.6072,0.97356,0.000371589,0.000371589,0.000371589
13,138.729,0.85176,2.50683,1.0481,0.59431,0.81707,0.83467,0.67601,0.87776,1.39705,0.97438,0.00036746,0.00036746,0.00036746
14,149.082,0.84006,2.2069,1.02337,0.70063,0.79596,0.86707,0.64418,1.12621,1.15509,1.05632,0.000363332,0.000363332,0.000363332
15,160.383,0.8201,2.11213,1.00666,0.80033,0.78866,0.877,0.67214,1.02423,1.1734,1.01993,0.000359204,0.000359204,0.000359204
16,172.378,0.82201,2.0244,1.00484,0.78137,0.89046,0.93651,0.66904,1.21323,1.08642,1.10809,0.000355076,0.000355076,0.000355076
17,182.616,0.83692,1.98582,1.01086,0.80431,0.88389,0.94026,0.75645,0.89464,0.9745,0.96071,0.000350947,0.000350947,0.000350947
18,193.138,0.79652,1.95478,0.98349,0.89243,0.83427,0.92663,0.69746,1.02169,1.04096,0.99346,0.000346819,0.000346819,0.000346819
19,203.383,0.756,1.84545,0.96694,0.85501,0.8462,0.92486,0.73741,0.8926,0.92438,0.9718,0.000342691,0.000342691,0.000342691
20,213.477,0.80303,1.7739,0.97906,0.89133,0.91683,0.96788,0.74069,0.97856,0.8671,1.02197,0.000338562,0.000338562,0.000338562
21,223.674,0.76114,1.74393,0.98913,0.89873,0.85497,0.9436,0.73428,0.93415,0.89494,0.99685,0.000334434,0.000334434,0.000334434
22,234.163,0.80423,1.73894,0.99465,0.84328,0.87145,0.94824,0.76473,0.81773,0.84437,0.9358,0.000330306,0.000330306,0.000330306
