epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3215,1.32552,13.1393,1.51569,0.59079,0.30944,0.2799,0.15354,1.64397,10.5419,1.42189,0.000135911,0.000135911,0.000135911
2,40.2831,1.18629,9.84056,1.35097,0.29639,0.69165,0.42348,0.29835,1.22374,7.58097,1.15924,0.000274004,0.000274004,0.000274004
3,60.0847,1.22071,8.57419,1.40391,0.29885,0.56538,0.49684,0.24239,1.5405,8.44715,1.40111,0.000411179,0.000411179,0.000411179
4,79.6665,1.21879,7.29575,1.42147,0.3953,0.75506,0.58384,0.33944,1.71792,17.9736,1.66122,0.000412872,0.000412872,0.000412872
5,99.2543,1.23979,6.11045,1.47351,0.69028,0.66832,0.69641,0.41312,1.48933,7.54325,1.58861,0.000411496,0.000411496,0.000411496
6,118.747,1.21307,5.65586,1.46824,0.67636,0.84946,0.87542,0.51451,1.49967,5.59776,1.61084,0.000410119,0.000410119,0.000410119
7,138.296,1.21559,4.92514,1.44059,0.62778,0.87121,0.83704,0.49326,1.56664,8.57808,1.61694,0.000408743,0.000408743,0.000408743
8,157.604,1.20485,4.6742,1.43714,0.72511,0.81568,0.88846,0.4983,1.64088,3.88908,1.664,0.000407367,0.000407367,0.000407367
9,177.252,1.15584,4.74177,1.42882,0.68331,0.93236,0.92504,0.54574,1.57551,6.47927,1.67403,0.000405991,0.000405991,0.000405991
10,196.872,1.21731,4.66635,1.45272,0.84142,0.84468,0.92509,0.56304,1.6074,3.20456,1.63504,0.000404615,0.000404615,0.000404615
11,216.541,1.15066,4.35016,1.39651,0.75956,0.89219,0.92603,0.56437,1.63509,3.55721,1.69788,0.000403239,0.000403239,0.000403239
12,236.304,1.18677,4.38649,1.4249,0.81742,0.89337,0.92538,0.57619,1.46722,3.3808,1.55525,0.000401863,0.000401863,0.000401863
13,255.862,1.18232,4.20108,1.43836,0.86957,0.94343,0.97946,0.69522,1.15908,2.47279,1.25079,0.000400487,0.000400487,0.000400487
14,275.532,1.16175,4.22763,1.42023,0.80534,0.88611,0.91224,0.5797,1.49607,4.23877,1.59049,0.000399111,0.000399111,0.000399111
15,294.989,1.13744,3.95124,1.40894,0.87596,0.9021,0.93642,0.57009,1.58342,3.14301,1.64965,0.000397735,0.000397735,0.000397735
16,314.797,1.14497,3.89886,1.43379,0.81357,0.94443,0.94014,0.52992,1.70505,2.8658,1.70382,0.000396358,0.000396358,0.000396358
17,334.74,1.16549,3.95079,1.4161,0.88431,0.85806,0.98626,0.48323,1.91167,3.88265,1.93639,0.000394982,0.000394982,0.000394982
18,354.591,1.15517,3.73292,1.44442,0.84278,0.81467,0.9106,0.61534,1.35206,3.84353,1.44816,0.000393606,0.000393606,0.000393606
19,374.017,1.11565,3.94253,1.37724,0.77891,0.97455,0.97349,0.68085,1.28262,3.5025,1.40055,0.00039223,0.00039223,0.00039223
