epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4044,1.43669,7.13819,1.52212,0.49394,0.13287,0.149,0.0777,1.59649,8.20177,1.51901,9.174e-05,9.174e-05,9.174e-05
2,31.3363,1.10099,4.48404,1.30543,0.41078,0.46236,0.39319,0.23155,1.48885,4.34598,1.36193,0.000186721,0.000186721,0.000186721
3,43.5485,1.10172,3.23665,1.2727,0.53314,0.51198,0.57631,0.31733,1.54034,2.05127,1.32112,0.000280753,0.000280753,0.000280753
4,54.8856,1.08229,2.64108,1.2665,0.49445,0.59308,0.64172,0.3517,1.50341,2.11277,1.43129,0.000373835,0.000373835,0.000373835
5,65.9669,1.10367,2.25182,1.34483,0.69774,0.66856,0.70846,0.42856,1.45193,1.69212,1.39128,0.000408743,0.000408743,0.000408743
6,77.4923,1.07596,1.99185,1.28783,0.53428,0.60544,0.63035,0.4525,1.14749,1.72559,1.23849,0.000406679,0.000406679,0.000406679
7,89.3001,1.07512,1.87419,1.29386,0.61855,0.73148,0.80543,0.52954,1.2249,1.7208,1.21507,0.000404615,0.000404615,0.000404615
8,101.489,1.05779,1.65971,1.29215,0.79863,0.77514,0.8963,0.53509,1.5936,1.15636,1.47807,0.000402551,0.000402551,0.000402551
9,113.925,1.09923,1.61591,1.34883,0.79481,0.88081,0.94967,0.61184,1.40414,1.04852,1.37477,0.000400487,0.000400487,0.000400487
10,125.572,1.07253,1.5058,1.28782,0.78982,0.69405,0.84553,0.61488,1.13907,1.2468,1.13979,0.000398423,0.000398423,0.000398423
11,137.049,1.07704,1.47221,1.32,0.8224,0.74271,0.89579,0.67643,1.03074,1.08932,1.12028,0.000396358,0.000396358,0.000396358
12,148.598,0.9965,1.28679,1.2676,0.75523,0.81403,0.90642,0.69521,0.90399,0.94647,1.06527,0.000394294,0.000394294,0.000394294
13,159.902,1.02532,1.34653,1.31964,0.82687,0.88664,0.95997,0.71412,1.02073,0.78047,1.12318,0.00039223,0.00039223,0.00039223
14,171.619,1.01555,1.19561,1.27008,0.86304,0.92975,0.97529,0.72739,1.05615,0.77326,1.16917,0.000390166,0.000390166,0.000390166
15,183.222,0.98056,1.19726,1.2445,0.80727,0.92356,0.95291,0.7014,1.07695,0.84622,1.17593,0.000388102,0.000388102,0.000388102
16,194.751,1.00208,1.1376,1.29205,0.94083,0.90058,0.94821,0.66579,1.22004,0.73887,1.26757,0.000386038,0.000386038,0.000386038
17,206.218,0.99727,1.11854,1.25376,0.86022,0.87145,0.94949,0.73568,0.98798,0.79887,1.12949,0.000383974,0.000383974,0.000383974
18,217.929,0.97083,1.05036,1.23064,0.86244,0.83653,0.95154,0.70748,1.0129,0.7894,1.10045,0.000381909,0.000381909,0.000381909
19,229.306,0.96813,1.00445,1.20805,0.87586,0.9299,0.9416,0.64794,1.20972,0.91885,1.25383,0.000379845,0.000379845,0.000379845
20,240.763,0.94912,1.07435,1.21903,0.88409,0.89945,0.94067,0.68154,1.12796,0.81123,1.21929,0.000377781,0.000377781,0.000377781
21,252.341,0.95034,0.98547,1.23714,0.87863,0.93515,0.98481,0.68587,1.18091,0.77285,1.28138,0.000375717,0.000375717,0.000375717
22,263.962,0.96077,1.0123,1.21705,0.9059,0.87905,0.95863,0.77091,0.81609,0.71097,1.04075,0.000373653,0.000373653,0.000373653
23,276.166,0.95688,1.03505,1.23016,0.88943,0.90734,0.95686,0.75565,0.87424,0.72766,1.05069,0.000371589,0.000371589,0.000371589
24,287.764,0.93405,0.95286,1.21909,0.93396,0.92289,0.97269,0.77787,0.86002,0.69273,1.08268,0.000369525,0.000369525,0.000369525
25,299.173,0.9482,0.9792,1.25284,0.93046,0.94518,0.995,0.7691,0.96966,0.53421,1.09647,0.00036746,0.00036746,0.00036746
26,310.377,0.8855,0.93587,1.1831,0.91055,0.94991,0.98609,0.76968,0.98685,0.6096,1.15283,0.000365396,0.000365396,0.000365396
27,322.131,0.89256,0.89553,1.17424,0.94157,0.95892,0.995,0.7902,0.89043,0.54096,1.07372,0.000363332,0.000363332,0.000363332
28,334.066,0.84426,0.84135,1.17261,0.93364,0.92525,0.99115,0.81367,0.78382,0.56466,1.0537,0.000361268,0.000361268,0.000361268
29,345.872,0.92895,0.96073,1.21428,0.90209,0.96381,0.98731,0.80818,0.76628,0.54283,1.01746,0.000359204,0.000359204,0.000359204
30,357.029,0.93494,0.97708,1.20928,0.85585,0.97951,0.995,0.77242,0.9411,0.53676,1.08336,0.00035714,0.00035714,0.00035714
31,368.578,0.9155,0.95787,1.20015,0.88836,0.87615,0.96691,0.7547,0.85089,0.64881,1.05078,0.000355076,0.000355076,0.000355076
32,380.584,0.8741,0.84437,1.16897,0.8275,0.92073,0.95095,0.76436,0.73829,0.70043,0.9913,0.000353011,0.000353011,0.000353011
33,392.001,0.89072,0.89523,1.19026,0.85771,0.92697,0.97378,0.80228,0.74959,0.64271,1.00743,0.000350947,0.000350947,0.000350947
34,403.555,0.85814,0.85282,1.18501,0.87547,0.9305,0.97965,0.79285,0.79067,0.60588,1.02932,0.000348883,0.000348883,0.000348883
