epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,224.888,0.69187,1.23569,0.99317,0.93782,0.94788,0.995,0.80954,0.75458,0.6081,0.9483,0.000349331,0.000349331,0.000349331
43,229.959,0.67772,1.2404,0.9721,0.94761,0.9254,0.98231,0.8305,0.66006,0.63539,0.91981,0.00034351,0.00034351,0.00034351
44,234.969,0.67627,1.19709,0.95614,0.8999,0.93994,0.97723,0.81935,0.70022,0.69285,0.91249,0.000337688,0.000337688,0.000337688
45,240.351,0.68763,1.20922,0.99663,0.91914,0.94975,0.98231,0.78729,0.87407,0.67791,0.97245,0.000331867,0.000331867,0.000331867
46,245.489,0.6783,1.23413,0.97683,0.8674,0.96897,0.98049,0.8135,0.72195,0.65758,0.9345,0.000326046,0.000326046,0.000326046
47,250.746,0.68059,1.15098,0.9712,0.85166,0.9491,0.98049,0.8675,0.53224,0.59801,0.89419,0.000320225,0.000320225,0.000320225
48,255.633,0.62145,1.05152,0.94718,0.96122,0.90105,0.98485,0.86115,0.54725,0.56791,0.89489,0.000314404,0.000314404,0.000314404
49,260.207,0.68582,1.1724,0.99974,0.89225,0.96937,0.99115,0.86211,0.56066,0.59437,0.89429,0.000308582,0.000308582,0.000308582
50,264.537,0.63553,1.14261,0.94211,0.89988,0.95228,0.99115,0.87785,0.49977,0.60134,0.87621,0.000302761,0.000302761,0.000302761
51,269.58,0.62536,1.07652,0.96251,0.92706,0.93285,0.99115,0.84393,0.63806,0.56429,0.91672,0.00029694,0.00029694,0.00029694
52,274.035,0.65238,1.07371,0.97993,0.92712,0.95687,0.995,0.80461,0.83627,0.6056,0.96961,0.000291119,0.000291119,0.000291119
53,278.398,0.65137,1.12681,0.97968,0.95369,0.94472,0.98865,0.83857,0.66757,0.57142,0.92001,0.000285298,0.000285298,0.000285298
54,283.277,0.59749,1.09876,0.94884,0.96905,0.95479,0.995,0.85699,0.59782,0.51264,0.90239,0.000279476,0.000279476,0.000279476
55,288.132,0.64054,1.05014,0.96566,0.96676,0.95752,0.995,0.84538,0.63998,0.50339,0.90859,0.000273655,0.000273655,0.000273655
56,293.028,0.67726,1.11372,0.97736,0.97034,0.96817,0.995,0.89141,0.49148,0.47267,0.88713,0.000267834,0.000267834,0.000267834
57,297.819,0.6566,1.07758,0.99611,0.95307,0.94983,0.98865,0.91151,0.44035,0.53603,0.86272,0.000262013,0.000262013,0.000262013
58,302.831,0.6296,1.03995,0.9586,0.95994,0.92782,0.98231,0.8714,0.54364,0.52938,0.87727,0.000256192,0.000256192,0.000256192
59,308.006,0.65639,1.06205,0.97862,0.95027,0.95089,0.98865,0.86563,0.58051,0.5007,0.88539,0.00025037,0.00025037,0.00025037
60,313.187,0.6282,1.06086,0.98254,0.95198,0.96086,0.995,0.83166,0.74189,0.51253,0.94276,0.000244549,0.000244549,0.000244549
61,318.214,0.61984,1.04644,0.94754,0.95721,0.96018,0.98731,0.85624,0.62588,0.51647,0.92171,0.000238728,0.000238728,0.000238728
62,323.512,0.62556,1.03099,0.96721,0.95903,0.96688,0.995,0.88994,0.54431,0.48044,0.90183,0.000232907,0.000232907,0.000232907
63,328.561,0.63544,0.99729,0.96995,0.97142,0.97187,0.995,0.86022,0.61296,0.47673,0.90848,0.000227086,0.000227086,0.000227086
64,333.851,0.55089,0.94272,0.91775,0.97174,0.94345,0.99115,0.88192,0.5633,0.46897,0.89544,0.000221264,0.000221264,0.000221264
65,339.63,0.5846,1.01503,0.95422,0.96671,0.94713,0.99115,0.9018,0.51798,0.45298,0.88318,0.000215443,0.000215443,0.000215443
66,344.557,0.53534,0.9479,0.92107,0.96316,0.97557,0.995,0.86195,0.581,0.45172,0.89489,0.000209622,0.000209622,0.000209622
67,349.631,0.59321,1.01334,0.94958,0.96502,0.9755,0.995,0.8569,0.59828,0.45937,0.90025,0.000203801,0.000203801,0.000203801
68,353.92,0.5957,1.00314,0.9367,0.97352,0.96809,0.995,0.85671,0.61067,0.47471,0.90365,0.00019798,0.00019798,0.00019798
69,359.273,0.60633,0.97799,0.93902,0.97453,0.9671,0.995,0.85938,0.61763,0.47241,0.90922,0.000192158,0.000192158,0.000192158
70,364.462,0.59911,0.99844,0.96648,0.94356,0.97855,0.995,0.86512,0.57714,0.45342,0.90187,0.000186337,0.000186337,0.000186337
71,369.668,0.57922,0.94068,0.97009,0.9722,0.94981,0.995,0.90796,0.45053,0.42287,0.87218,0.000180516,0.000180516,0.000180516
72,374.565,0.56305,0.9271,0.92968,0.97057,0.96486,0.995,0.91533,0.41297,0.41378,0.86277,0.000174695,0.000174695,0.000174695
73,379.428,0.58026,0.94524,0.94594,0.97198,0.97264,0.995,0.90567,0.48161,0.41536,0.86898,0.000168874,0.000168874,0.000168874
