epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7298,1.31351,6.0257,1.48054,0.44477,0.40458,0.37539,0.22705,1.46635,4.5648,1.32869,0.000135911,0.000135911,0.000135911
2,41.2458,1.12718,4.33283,1.35171,0.37654,0.60724,0.43246,0.2849,1.36995,3.65001,1.42227,0.000274004,0.000274004,0.000274004
3,61.3293,1.22058,3.92244,1.40181,0.37807,0.58427,0.47713,0.27233,1.61243,3.60159,1.55085,0.000411179,0.000411179,0.000411179
4,81.2517,1.21411,3.51476,1.35656,0.4185,0.63619,0.60669,0.32753,1.75924,5.18735,1.91301,0.000412872,0.000412872,0.000412872
5,101.473,1.21581,3.15094,1.39188,0.60687,0.62328,0.71358,0.41969,1.58762,3.41287,1.55496,0.000411496,0.000411496,0.000411496
6,121.566,1.18375,2.84371,1.40224,0.59311,0.70888,0.66243,0.4074,1.39129,3.35524,1.49654,0.000410119,0.000410119,0.000410119
7,141.356,1.2118,2.4738,1.39876,0.44968,0.82858,0.73732,0.44232,1.52142,4.42386,1.50234,0.000408743,0.000408743,0.000408743
8,161.316,1.18438,2.39829,1.4063,0.60424,0.70836,0.75905,0.38327,1.89287,2.36629,1.93341,0.000407367,0.000407367,0.000407367
9,181.14,1.16591,2.2873,1.42382,0.61848,0.813,0.77802,0.47813,1.52339,2.92187,1.61489,0.000405991,0.000405991,0.000405991
10,201.305,1.18625,2.22685,1.41568,0.73052,0.86599,0.89638,0.53856,1.60441,1.71727,1.66214,0.000404615,0.000404615,0.000404615
11,221.54,1.12938,2.10094,1.35725,0.74241,0.90895,0.9338,0.59977,1.40756,1.84825,1.46529,0.000403239,0.000403239,0.000403239
12,241.641,1.14131,2.10494,1.38003,0.76786,0.89414,0.96888,0.56382,1.59442,1.46265,1.60127,0.000401863,0.000401863,0.000401863
13,261.367,1.14628,2.00413,1.40176,0.84257,0.89302,0.93702,0.61503,1.30222,1.255,1.3378,0.000400487,0.000400487,0.000400487
14,281.527,1.15477,2.06223,1.41044,0.80053,0.8988,0.95276,0.64706,1.24528,1.37602,1.28511,0.000399111,0.000399111,0.000399111
15,301.394,1.09784,1.90497,1.37741,0.7746,0.89077,0.96288,0.6217,1.38364,1.64808,1.44953,0.000397735,0.000397735,0.000397735
16,321.312,1.08867,1.85379,1.3913,0.79363,0.8983,0.92747,0.59932,1.3686,1.22156,1.38157,0.000396358,0.000396358,0.000396358
17,341.281,1.10675,1.89977,1.36737,0.83216,0.89215,0.95651,0.56845,1.5619,1.33231,1.56877,0.000394982,0.000394982,0.000394982
18,361.113,1.05381,1.71648,1.3469,0.87053,0.90741,0.94408,0.65153,1.21474,1.16642,1.29602,0.000393606,0.000393606,0.000393606
19,381.149,1.04063,1.75307,1.31641,0.89404,0.87789,0.97709,0.6934,1.22871,1.43816,1.30411,0.00039223,0.00039223,0.00039223
20,401.149,1.01974,1.61455,1.31555,0.85218,0.91018,0.97536,0.69248,1.21476,1.59381,1.28745,0.000390854,0.000390854,0.000390854
21,420.815,1.07438,1.72546,1.32805,0.83934,0.95483,0.91978,0.65798,1.1086,1.19725,1.25322,0.000389478,0.000389478,0.000389478
22,440.729,1.04445,1.58502,1.32774,0.78335,0.95734,0.98731,0.69307,1.26057,1.12875,1.32237,0.000388102,0.000388102,0.000388102
23,460.648,1.05365,1.66759,1.35675,0.78593,0.91869,0.96972,0.72132,1.12195,1.40341,1.25207,0.000386726,0.000386726,0.000386726
24,480.833,1.1143,1.72888,1.38729,0.86878,0.92282,0.93851,0.63198,1.33285,1.5853,1.41196,0.00038535,0.00038535,0.00038535
25,500.691,1.06288,1.55008,1.32574,0.88381,0.97436,0.9726,0.6378,1.3718,1.1555,1.44852,0.000383974,0.000383974,0.000383974
26,520.443,1.12965,1.84367,1.41896,0.84819,0.93043,0.92773,0.55085,1.65898,2.3527,1.64881,0.000382597,0.000382597,0.000382597
27,540.256,1.02842,1.65142,1.32567,0.90638,0.96562,0.96974,0.57913,1.53141,1.18041,1.56726,0.000381221,0.000381221,0.000381221
28,560.2,1.0834,1.58668,1.34514,0.81318,0.96184,0.97653,0.58855,1.53604,1.10182,1.56906,0.000379845,0.000379845,0.000379845
29,580.162,1.02562,1.44618,1.34329,0.8475,0.87244,0.95078,0.64349,1.29032,1.20851,1.35053,0.000378469,0.000378469,0.000378469
30,599.991,1.0616,1.45515,1.37256,0.75129,0.95907,0.96378,0.69311,1.09656,0.99894,1.21352,0.000377093,0.000377093,0.000377093
31,619.837,1.09017,1.50512,1.37961,0.84209,0.93061,0.95461,0.58524,1.51677,1.22191,1.53052,0.000375717,0.000375717,0.000375717
32,639.554,1.02231,1.35109,1.29059,0.78234,0.9667,0.98437,0.56126,1.64434,1.37576,1.65856,0.000374341,0.000374341,0.000374341
